Vendor_ID,Vendor_Name,Contract_ID,Contract_Description,Start_Date,End_Date,Contract_Type
V135,WellSky,1001,enim in,29/06/2021,26/11/2022,TM
V672,Rivet,1002,est congue,08/05/2021,04/05/2022,FP
V522,FGA Inc,1003,pellentesque volutpat,26/02/2021,31/07/2022,TM
V797,Quadax Inc,1004,morbi,12/05/2021,12/11/2022,FP
V486,OmniSys,1005,libero,23/07/2021,17/08/2022,FP
V658,Etactics,1006,duis faucibus,30/05/2021,07/02/2023,TM
V565,HealthXNet,1007,convallis,06/10/2021,21/09/2022,TM
V453,CompMed,1008,mattis egestas metus,22/04/2021,05/01/2023,FP
V878,Ritiko LLC,1009,tincidunt,18/03/2021,02/10/2022,FP
V222,Ability Network,1010,aenean fermentum,12/06/2021,10/12/2022,FP
V110,Greenway Health,1011,purus,10/07/2021,29/10/2022,FP
V624,Noble House,1012,massa volutpat convallis,13/06/2021,17/01/2023,TM
V090,eSolutions,1013,enim,24/01/2021,13/09/2022,TM
V501,Experian Health Inc,1014,pretium quis lectus,06/07/2021,01/08/2022,TM
V213,Eligible Inc,1015,sagittis sapien cum,20/01/2021,07/10/2022,FP
V928,Cerner Health Services HDX,1016,metus sapien,29/05/2021,29/08/2022,FP
V653,myhELO,1017,in hac habitasse platea,28/07/2021,06/11/2022,FP
V971,Prevounce Health,1018,proin at,14/11/2021,19/11/2022,FP
V305,Toyon Associates Inc,1019,quam pharetra magna ac,16/10/2021,02/12/2022,FP
V425,Healthcare IP,1020,viverra dapibus,28/04/2021,25/10/2022,CR
