PO_Date,PO_Number,Item_ID,Item_Description,Item_Type,Manufacturer_Name,Manufacturer_ID,Lowest_Unit_Of_Measure,Purchasing_Unit_Of_Measure,Vendor_Name,Vendor_ID,Vendor_Country,Vendor_State,Vendor_City,Vendor_Active_Status,Contract_ID,Contract_Description,Contract_Type,Contract_Start_Date,Contract_End_Date,Contract_Status,Contract_Price,Contract_UOM,Unit_Of_Measure,Unit_Of_Measure_In_Number,Quantity_At_UOM,Price_Per_UOM,Total_Price,Department,Budget,Requestor
22-06-2022,PO0001,IT1,Stethscope,Non-Consumable,Johnson & Johnson,301,EA,EA,LAC Healthcare Solutions,V135,USA,New York ,New York City,Yes,1001,enim in,Fixed Price,29-06-2021,26-11-2022,In Contract,21,48,EA,1,48,150,7200,Outpatient Department,50000000,Wilmar Bignold
11-08-2022,PO0002,IT2,Scissor,Non-Consumable,Medtronic,335,DZ,DZ,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,21,64,DZ,12,4,60,240,Surgical Department,50000000,Alie Gorey
24-08-2021,PO0003,IT3,Stretcher,Non-Consumable,3M Company,372,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,21,96,EA,1,34,2000,68000,Paramedical Department,50000000,Lion Philimore
31-05-2021,PO0004,IT4,Magnifier,Non-Consumable,Terumo,351,EA,EA,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,2,99,EA,1,29,7.5,217.5,Paramedical Department,50000000,Lion Philimore
13-11-2022,PO0005,IT5,Weighing Scale,Non-Consumable,Nipro,347,EA,EA,Health Products For You,V486,USA,Texas,Houston,Yes,1005,libero,Fixed Price,23-07-2021,17-08-2022,In Contract,2,93,EA,1,5,20,100,Surgical Department,50000000,Tim Giles
16-01-2022,PO0006,IT6,Torch,Non-Consumable,Abbott,318,EA,EA,Owens & Minor Inc.,V658,USA,Texas,Oklahoma City,Yes,1006,duis faucibus,Time And Material,30-05-2021,07-02-2023,In Contract,2,76,EA,1,35,5,175,Paramedical Department,50000000,Lion Philimore
22-06-2021,PO0007,IT7,Face Mask,Consumable,Medtronic,335,PK50,PK100,Medtronic,V672,USA,California,Los Angeles,Yes,1002,est congue,Time And Material,08-05-2021,04-05-2022,In Contract,10,39,PK100,100,47,94,4418,Nursing Department,50000000,Stephanie Crohan
10-10-2022,PO0008,IT8,First Aid Kit,Consumable,Advin Healthcare,324,EA,EA,CVS Health,V522,USA,Illinois,Chicago,Yes,1003,pellentesque volutpat,Fixed Price,26-02-2021,31-07-2022,In Contract,15,72,EA,1,6,10,60,Outpatient Department,50000000,Calvin Graben
23-10-2021,PO0009,IT9,Gloves,Consumable,Aegis Lifesciences Private Limited,398,PK50,PK100,Drive Medical,V797,USA,Arizona,Phoenix,Yes,1004,morbi,Cost Reimbursement,12-05-2021,12-11-2022,In Contract,16,17,PK100,100,10,198,1980,Nursing Department,50000000,Devin Teml
04-05-2022,PO0010,IT10,Scalpel,Consumable,Smiths Medical,365,EA,EA,Henry Schein,V565,USA,Colorado,Denver,Yes,1007,convallis,Fixed Price,30-05-2021,21-09-2022,In Contract,13,46,EA,1,30,5,150,Nursing Department,50000000,Stephanie Crohan
11-10-2021,PO0011,IT11,Microscope,Non-Consumable,Cardinal Health,372,EA,EA,Cardinal Health,V453,USA,Utah,Salt Lake City,Yes,1008,mattis egestas metus,Time And Material,06-10-2021,05-01-2023,In Contract,1,94,EA,1,25,1180,29500,Radiology Department,50000000,Ashly Shore
03-09-2021,PO0012,IT12,Otoscope,Non-Consumable,Johnson & Johnson,301,EA,EA,Johnson & Johnson,V878,USA,Florida,Miami,Yes,1009,mattis egestas metus,Time And Material,22-04-2021,02-10-2022,In Contract,20,68,EA,1,48,145,6960,Nursing Department,50000000,Stephanie Crohan
10-09-2022,PO0013,IT13,Thermometer,Non-Consumable,Abbott,318,EA,EA,Abbott,V222,USA,Illinois,Chicago,No,1010,enim,Fixed Price,01-03-2021,30-11-2021,Contract Expired,20,7,EA,1,32,35,1120,Surgical Department,50000000,Alie Gorey
08-09-2022,PO0014,IT14,Saline Bag,Consumable,Medtronic,335,DZ,DZ,Vitality Medical,V971,USA,North Carolina,Charlotte,Yes,1011,pretium quis lectus,Fixed Price,12-06-2021,19-11-2022,In Contract,22,39,DZ,12,19,142,2698,Surgical Department,50000000,Tim Giles
06-09-2022,PO0015,IT15,Syringe,Consumable,Siemens Healthineers,307,DZ,DZ,Halyard health,V624,USA,California,Los Angeles,Yes,1012,sagittis sapien cum,Time And Material,14-11-2021,17-01-2023,In Contract,22,99,DZ,12,2,420,840,Paramedical Department,50000000,Lilly Ondricek
18-07-2021,PO0016,IT16,X-ray Machine,Non-Consumable,Johnson & Johnson,301,EA,EA,Stryker,V090,USA,New York ,New York City,Yes,1013,metus sapien,Fixed Price,13-06-2021,30-11-2021,In Contract,13,96,EA,1,41,2000,82000,Nursing Department,50000000,Selina MacDwyer
