Vendor_ID,Vendor_Name,Vendor_City,Active_Status
V135,WellSky,New York,Yes
V672,Rivet,Los Angeles,Yes
V522,FGA Inc,Chicago,Yes
V797,Quadax Inc,Phoenix,Yes
V486,OmniSys,Houston,Yes
V658,Etactics,Oklahoma City,Yes
V565,HealthXNet,Denver,Yes
V453,CompMed,Salt Lake City,Yes
V878,Ritiko LLC,Miami,Yes
V222,Ability Network,Atlanta,Yes
V110,Greenway Health,San Antonio,Yes
V624,Noble House,Dallas,Yes
V090,eSolutions,Charlotte,Yes
V501,Experian Health Inc,New York,Yes
V213,Eligible Inc,Chicago,Yes
V928,Cerner Health Services HDX,San Antonio,Yes
V653,myhELO,Salt Lake City,Yes
V971,Prevounce Health,Houston,Yes
V305,Toyon Associates Inc,New York,Yes
V425,Healthcare IP,Denver,Yes
